make,price,mpg,rep78,headroom,trunk,weight,length,turn,displacement,gear_ratio,foreign
AMC Concord,"4,099",22,3,3,11,"2,930",186,40,121,3.58,Domestic
AMC Pacer,"4,749",17,3,3,11,"3,350",173,40,258,2.53,Domestic
AMC Spirit,"3,799",22,,3,12,"2,640",168,35,121,3.08,Domestic
Buick Century,"4,816",20,3,5,16,"3,250",196,40,196,2.93,Domestic
Buick Electra,"7,827",15,4,4,20,"4,080",222,43,350,2.41,Domestic
Buick LeSabre,"5,788",18,3,4,21,"3,670",218,43,231,2.73,Domestic
Buick Opel,"4,453",26,,3,10,"2,230",170,34,304,2.87,Domestic
Buick Regal,"5,189",20,3,2,16,"3,280",200,42,196,2.93,Domestic
Buick Riviera,"10,372",16,3,4,17,"3,880",207,43,231,2.93,Domestic
Buick Skylark,"4,082",19,3,4,13,"3,400",200,42,231,3.08,Domestic
Cad. Deville,"11,385",14,3,4,20,"4,330",221,44,425,2.28,Domestic
Cad. Eldorado,"14,500",14,2,4,16,"3,900",204,43,350,2.19,Domestic
Cad. Seville,"15,906",21,3,3,13,"4,290",204,45,350,2.24,Domestic
Chev. Chevette,"3,299",29,3,3,9,"2,110",163,34,231,2.93,Domestic
Chev. Impala,"5,705",16,4,4,20,"3,690",212,43,250,2.56,Domestic
Chev. Malibu,"4,504",22,3,4,17,"3,180",193,31,200,2.73,Domestic
Chev. Monte Carlo,"5,104",22,2,2,16,"3,220",200,41,200,2.73,Domestic
Chev. Monza,"3,667",24,2,2,7,"2,750",179,40,151,2.73,Domestic
Chev. Nova,"3,955",19,3,4,13,"3,430",197,43,250,2.56,Domestic
Dodge Colt,"3,984",30,5,2,8,"2,120",163,35,98,3.54,Domestic
Dodge Diplomat,"4,010",18,2,4,17,"3,600",206,46,318,2.47,Domestic
Dodge Magnum,"5,886",16,2,4,17,"3,600",206,46,318,2.47,Domestic
Dodge St. Regis,"6,342",17,2,5,21,"3,740",220,46,225,2.94,Domestic
Ford Fiesta,"4,389",28,4,2,9,"1,800",147,33,98,3.15,Domestic
Ford Mustang,"4,187",21,3,2,10,"2,650",179,43,140,3.08,Domestic
Linc. Continental,"11,497",12,3,4,22,"4,840",233,51,400,2.47,Domestic
Linc. Mark V,"13,594",12,3,3,18,"4,720",230,48,400,2.47,Domestic
Linc. Versailles,"13,466",14,3,4,15,"3,830",201,41,302,2.47,Domestic
Merc. Bobcat,"3,829",22,4,3,9,"2,580",169,39,140,2.73,Domestic
Merc. Cougar,"5,379",14,4,4,16,"4,060",221,48,302,2.75,Domestic
Merc. Marquis,"6,165",15,3,4,23,"3,720",212,44,302,2.26,Domestic
Merc. Monarch,"4,516",18,3,3,15,"3,370",198,41,250,2.43,Domestic
Merc. XR-7,"6,303",14,4,3,16,"4,130",217,45,302,2.75,Domestic
Merc. Zephyr,"3,291",20,3,4,17,"2,830",195,43,140,3.08,Domestic
Olds 98,"8,814",21,4,4,20,"4,060",220,43,350,2.41,Domestic
Olds Cutl Supr,"5,172",19,3,2,16,"3,310",198,42,231,2.93,Domestic
Olds Cutlass,"4,733",19,3,5,16,"3,300",198,42,231,2.93,Domestic
Olds Delta 88,"4,890",18,4,4,20,"3,690",218,42,231,2.73,Domestic
Olds Omega,"4,181",19,3,5,14,"3,370",200,43,231,3.08,Domestic
Olds Starfire,"4,195",24,1,2,10,"2,730",180,40,151,2.73,Domestic
Olds Toronado,"10,371",16,3,4,17,"4,030",206,43,350,2.41,Domestic
